"total_females_in_the_household","females_younger_than_12_years_of_age","monthly_rent_payment","number_of_all_rooms_in_the_house","if_the_household_has_refrigerator","total_males_in_the_household","persons_younger_than_12_years_of_age","males_12_years_of_age_and_older","overcrowding_by_rooms","males_younger_than_12_years_of_age","females_12_years_of_age_and_older","overcrowding_by_bedrooms","id","has_bathroom_in_the_household","persons_12_years_of_age_and_older","target","allocated_cluster"
2,0,0,6,1,4,1,3,0,1,2,0,"ID_6580e7800",1,5,"two",8
1,0,0,6,1,2,0,2,0,0,1,0,"ID_139a11f36",1,3,"four",8
1,0,0,7,1,3,0,3,0,0,1,0,"ID_e7573f1df",1,4,"four",8
1,0,0,5,1,1,0,1,0,0,1,0,"ID_dc5e45122",1,2,"one",2
1,0,0,5,1,1,0,1,0,0,1,0,"ID_73cccdbc9",1,2,"four",2
1,0,170000,5,1,3,0,3,0,0,1,0,"ID_90e67271c",1,4,"four",8
1,0,0,5,1,2,0,2,0,0,1,0,"ID_6e588ce21",1,3,"four",8
0,0,0,3,0,1,0,1,0,0,0,0,"ID_3a4750bea",1,1,"two",5
1,0,0,4,1,1,0,1,0,0,1,0,"ID_9b2d1ff0f",1,2,"four",2
1,0,0,6,1,2,0,2,0,0,1,0,"ID_1db0ed392",1,3,"four",8
3,2,0,4,1,1,2,1,0,0,1,0,"ID_3148c7e1d",1,2,"three",7
2,0,0,5,1,1,0,1,0,0,2,0,"ID_83d18a238",1,3,"four",1
1,0,0,5,1,3,0,3,0,0,1,0,"ID_9dc450164",1,4,"one",8
1,0,0,9,1,3,0,3,0,0,1,0,"ID_9a70571e2",1,4,"four",8
1,0,150000,5,1,1,0,1,0,0,1,0,"ID_e1eb4b85b",1,2,"four",2
2,0,0,5,1,1,0,1,0,0,2,0,"ID_963c8645c",1,3,"four",1
0,0,0,3,1,1,0,1,0,0,0,0,"ID_f1dfec4fe",1,1,"four",2
1,0,0,5,1,0,0,0,0,0,1,0,"ID_ec9574410",1,1,"two",2
1,0,0,7,1,1,0,1,0,0,1,0,"ID_21f898f66",1,2,"four",2
0,0,0,5,1,1,0,1,0,0,0,0,"ID_e5cdba865",1,1,"four",2
3,2,50000,6,1,1,2,1,0,0,1,0,"ID_c71618d01",1,2,"two",7
1,0,0,4,1,0,0,0,0,0,1,0,"ID_7586d1c63",1,1,"three",2
1,0,0,5,1,1,0,1,0,0,1,0,"ID_9f1ecf376",1,2,"four",2
1,0,0,7,1,1,0,1,0,0,1,0,"ID_149fdf91d",1,2,"four",2
4,1,0,6,1,2,2,1,0,1,3,0,"ID_146b85090",1,4,"four",4
1,0,40000,1,1,3,2,1,1,2,1,1,"ID_a0bb5a285",0,2,"three",6
1,0,0,4,1,2,2,0,0,2,1,0,"ID_0957fdca9",1,1,"one",7
1,0,0,4,1,2,1,1,0,1,1,0,"ID_6e04d259e",1,2,"four",2
1,0,0,6,1,1,0,1,0,0,1,0,"ID_50aba3a9f",1,2,"four",2
1,0,0,6,1,2,0,2,0,0,1,0,"ID_50345cb9d",1,3,"three",8
1,0,0,1,1,3,2,1,1,2,1,1,"ID_9c64a9c37",1,2,"three",3
2,0,0,6,1,2,0,2,0,0,2,0,"ID_67e6e8997",1,4,"four",8
3,0,0,4,1,2,1,1,0,1,3,0,"ID_727b8d735",1,4,"two",4
2,1,0,4,1,0,1,0,0,0,1,0,"ID_2a0ad88c9",1,1,"one",1
1,0,40000,3,1,0,0,0,0,0,1,0,"ID_8009ea41c",1,1,"four",2
2,0,0,3,1,1,0,1,0,0,2,0,"ID_2daef588f",1,3,"two",1
0,0,220000,5,1,1,0,1,0,0,0,0,"ID_e9db8f9b1",1,1,"four",2
1,0,0,5,1,1,0,1,0,0,1,0,"ID_ab6dea438",1,2,"four",2
1,0,0,4,1,2,0,2,0,0,1,0,"ID_b1d4bf07d",1,3,"four",8
2,1,0,5,1,1,1,1,0,0,1,0,"ID_fb98d84da",1,2,"four",1
2,1,0,5,1,2,2,1,0,1,1,0,"ID_365eb228b",1,2,"four",7
1,0,0,6,0,5,2,3,0,2,1,0,"ID_ae71f8d9b",1,4,"one",5
0,0,0,5,1,3,2,1,0,2,0,0,"ID_cf2426ea5",1,1,"three",7
0,0,0,3,1,1,0,1,0,0,0,0,"ID_afa0015dc",1,1,"three",2
1,0,0,3,0,1,0,1,0,0,1,0,"ID_69378f8bb",1,2,"three",5
1,0,0,4,1,1,1,0,0,1,1,0,"ID_8b0092e24",1,1,"one",2
1,0,0,5,1,2,1,1,0,1,1,0,"ID_8eb8b14eb",1,2,"four",2
0,0,30000,1,0,1,0,1,0,0,0,0,"ID_5cb2ab0bb",1,1,"four",5
1,0,80000,4,1,2,0,2,0,0,1,0,"ID_e54214a13",1,3,"two",8
0,0,80000,4,1,1,0,1,0,0,0,0,"ID_cc7e6aa47",1,1,"four",2
0,0,65000,1,0,1,0,1,0,0,0,0,"ID_922560dcf",1,1,"four",5
2,0,0,8,1,1,0,1,0,0,2,0,"ID_00958797d",1,3,"four",1
4,3,0,4,1,1,3,1,0,0,1,0,"ID_e7d057011",1,2,"two",7
1,0,285270,2,1,1,0,1,0,0,1,0,"ID_a1fe18f67",1,2,"four",2
1,0,0,4,1,2,1,1,0,1,1,0,"ID_deab95269",1,2,"three",2
1,0,0,4,1,2,0,2,0,0,1,0,"ID_e0dc3bf4f",1,3,"two",8
1,0,0,4,1,1,0,1,0,0,1,0,"ID_a0ec8da37",1,2,"two",2
1,0,0,6,1,1,0,1,0,0,1,0,"ID_334f7158f",1,2,"four",2
0,0,55000,2,1,1,0,1,0,0,0,0,"ID_c53d15751",1,1,"four",2
3,1,220000,4,1,2,1,2,0,0,2,0,"ID_c85af3bbc",1,4,"four",4
0,0,0,2,1,1,0,1,0,0,0,0,"ID_28f739e39",1,1,"four",2
1,0,0,5,1,2,0,2,0,0,1,0,"ID_0cdea3699",1,3,"three",8
1,0,0,5,1,3,1,2,0,1,1,0,"ID_69610798e",1,3,"four",8
2,1,280000,4,1,1,1,1,0,0,1,0,"ID_6c30ae492",1,2,"four",1
1,0,215000,4,1,1,0,1,0,0,1,0,"ID_74a2bc523",1,2,"four",2
1,0,0,5,1,1,0,1,0,0,1,0,"ID_bf8a5c633",1,2,"two",2
1,0,0,7,1,3,1,2,0,1,1,0,"ID_f6f7f6817",1,3,"four",8
2,1,0,5,1,2,2,1,0,1,1,0,"ID_fb18eaa05",1,2,"four",7
1,0,0,11,1,0,0,0,0,0,1,0,"ID_30a897cfc",1,1,"four",2
1,0,0,6,1,1,0,1,0,0,1,0,"ID_9129298f7",1,2,"four",2
1,0,0,5,1,2,0,2,0,0,1,0,"ID_1029dd02c",1,3,"three",8
2,0,2e+05,3,1,2,1,1,0,1,2,0,"ID_acb6d669c",1,3,"two",1
2,0,0,5,1,2,1,1,0,1,2,0,"ID_d89ec6013",1,3,"four",1
2,0,0,4,1,2,0,2,0,0,2,0,"ID_db4ec54a5",1,4,"four",8
2,0,0,5,1,1,0,1,0,0,2,0,"ID_168910521",1,3,"three",1
2,0,0,8,1,2,0,2,0,0,2,0,"ID_eecec233b",1,4,"one",8
1,0,0,5,1,1,0,1,0,0,1,0,"ID_067f89f3c",1,2,"one",2
2,0,2e+05,5,1,3,1,2,0,1,2,0,"ID_13dd0bd2d",1,4,"four",8
1,0,0,7,1,2,0,2,0,0,1,0,"ID_30b4ad7f6",1,3,"four",8
3,2,0,3,1,1,2,1,0,0,1,0,"ID_86da87ef9",1,2,"four",7
1,0,50000,3,1,2,0,2,0,0,1,0,"ID_66af21ee8",1,3,"one",8
2,1,0,4,1,1,1,1,0,0,1,0,"ID_a942bcc97",1,2,"two",1
1,0,0,5,0,1,0,1,0,0,1,0,"ID_99c043cc8",1,2,"four",5
1,0,4e+05,3,1,0,0,0,0,0,1,0,"ID_905395d99",1,1,"four",2
1,0,0,5,1,1,0,1,0,0,1,0,"ID_1a18310da",1,2,"four",2
4,1,0,3,1,2,1,2,0,0,3,0,"ID_2111f98cf",1,5,"four",4
2,0,0,4,0,1,0,1,0,0,2,0,"ID_853595e16",1,3,"two",5
2,0,2e+05,7,1,1,0,1,0,0,2,0,"ID_b2dab5949",1,3,"four",1
2,1,0,4,1,0,1,0,0,0,1,0,"ID_c90bb31e7",1,1,"four",1
3,1,0,5,1,2,1,2,0,0,2,0,"ID_17458379a",1,4,"three",4
2,0,0,6,1,1,0,1,0,0,2,0,"ID_3b89a8fb4",1,3,"four",1
0,0,80000,4,1,2,0,2,0,0,0,0,"ID_61ff5b289",1,2,"three",2
2,1,540000,5,1,1,1,1,0,0,1,0,"ID_d9eff70e4",1,2,"four",1
2,0,0,5,1,1,0,1,0,0,2,0,"ID_6df0785f5",1,3,"four",1
2,1,45000,4,1,1,1,1,0,0,1,0,"ID_ce733a4eb",1,2,"three",1
1,0,0,3,1,2,1,1,0,1,1,0,"ID_6de793a46",1,2,"three",2
3,0,40000,2,1,1,0,1,0,0,3,1,"ID_700ec94e3",1,4,"four",3
1,0,0,4,1,1,0,1,0,0,1,0,"ID_94f4c823f",1,2,"four",2
2,0,0,5,1,3,0,3,0,0,2,0,"ID_a7ca1bc2f",1,5,"two",8
2,1,7e+05,6,1,2,2,1,0,1,1,0,"ID_133dc17f1",1,2,"four",7
2,1,0,7,1,5,2,4,0,1,1,0,"ID_261833653",1,5,"three",8
1,0,72554,4,1,2,1,1,0,1,1,0,"ID_c8e8cfea6",1,2,"four",2
3,0,0,6,1,4,0,4,0,0,3,0,"ID_67d35e8bb",1,7,"three",4
3,1,0,5,1,1,1,1,0,0,2,0,"ID_b03f1f47e",1,3,"four",1
2,1,0,4,1,1,1,1,0,0,1,0,"ID_9a1ad104f",1,2,"four",1
2,0,2e+05,7,1,2,0,2,0,0,2,0,"ID_434b78230",1,4,"four",8
3,1,0,4,1,0,1,0,0,0,2,0,"ID_12b46dd71",1,2,"four",1
1,0,65000,2,0,1,1,0,0,1,1,0,"ID_cd71aae3d",1,1,"four",5
1,0,0,5,1,2,0,2,0,0,1,0,"ID_7bb9f96cd",1,3,"four",8
1,0,85000,4,1,4,3,1,0,3,1,0,"ID_f5f6d382f",1,2,"one",7
1,0,0,5,1,1,0,1,0,0,1,0,"ID_44eda1b00",1,2,"four",2
4,1,0,5,1,1,1,1,0,0,3,0,"ID_5b70a3bee",1,4,"three",4
5,1,0,4,1,2,1,2,0,0,4,1,"ID_d50bd75b6",1,6,"three",3
0,0,0,3,1,1,0,1,0,0,0,0,"ID_590a1ed36",1,1,"four",2
1,0,0,5,1,1,0,1,0,0,1,0,"ID_b0483b719",1,2,"four",2
2,1,120000,4,1,1,1,1,0,0,1,0,"ID_1eece0517",1,2,"four",1
1,0,0,4,1,2,0,2,0,0,1,0,"ID_5019d5f42",1,3,"two",8
1,0,84529,4,1,3,2,1,0,2,1,0,"ID_2a9134915",1,2,"four",7
4,2,0,4,1,1,2,1,0,0,2,0,"ID_3b470df14",1,3,"four",7
1,0,0,7,1,3,0,3,0,0,1,0,"ID_e811b3917",1,4,"four",8
2,0,0,4,1,3,0,3,0,0,2,0,"ID_0cc705c55",1,5,"four",8
2,0,1e+05,5,1,1,0,1,0,0,2,0,"ID_2822d68a5",1,3,"four",1
2,0,0,2,1,1,0,1,0,0,2,0,"ID_3637e1059",1,3,"four",1
2,1,0,5,1,1,1,1,0,0,1,0,"ID_5aff2ae0e",1,2,"four",1
3,0,32000,4,1,3,0,3,0,0,3,0,"ID_0905a3e89",1,6,"three",4
3,0,2353477,9,1,2,0,2,0,0,3,0,"ID_15c481789",1,5,"four",4
1,0,110000,1,1,1,0,1,0,0,1,0,"ID_69f50bf3e",1,2,"four",2
2,0,0,4,1,3,0,3,0,0,2,0,"ID_b06882487",1,5,"four",8
1,0,0,4,1,1,0,1,0,0,1,0,"ID_7892473a2",1,2,"four",2
2,1,85000,2,1,0,1,0,0,0,1,0,"ID_d3e5a6caa",1,1,"four",1
4,0,0,9,1,6,2,4,0,2,4,0,"ID_e0a305a34",1,8,"four",4
1,0,0,4,1,2,1,1,0,1,1,0,"ID_2cb910634",1,2,"one",2
2,0,0,10,1,3,0,3,0,0,2,0,"ID_d5627a404",1,5,"four",8
2,0,0,4,1,0,0,0,0,0,2,0,"ID_d7b61140a",1,2,"four",1
2,0,0,7,1,0,0,0,0,0,2,0,"ID_c1c2c7dd4",1,2,"four",1
1,0,0,6,1,1,0,1,0,0,1,0,"ID_58aa63491",1,2,"four",2
1,0,456432,6,1,3,2,1,0,2,1,0,"ID_95d9b80f8",1,2,"four",7
1,0,0,6,1,3,0,3,0,0,1,0,"ID_4ccde2da0",1,4,"four",8
2,0,0,6,1,1,0,1,0,0,2,0,"ID_9ac731b14",1,3,"four",1
1,0,1e+05,2,1,0,0,0,0,0,1,0,"ID_dc4f16530",1,1,"four",2
1,0,0,8,1,2,0,2,0,0,1,0,"ID_3e3e9489e",1,3,"four",8
2,0,0,4,1,1,0,1,0,0,2,0,"ID_18b7a73da",1,3,"two",1
1,0,0,4,1,0,0,0,0,0,1,0,"ID_a6ed473a6",1,1,"four",2
0,0,0,6,1,1,0,1,0,0,0,0,"ID_cadf08b53",1,1,"four",2
1,0,0,6,1,1,0,1,0,0,1,0,"ID_9b8441f93",1,2,"four",2
3,1,0,6,1,4,1,4,0,0,2,0,"ID_3f66348ab",1,6,"three",4
1,0,0,6,1,0,0,0,0,0,1,0,"ID_4bcb47e20",1,1,"four",2
2,0,0,7,1,0,0,0,0,0,2,0,"ID_1ced956ff",1,2,"four",1
2,0,0,4,1,1,0,1,0,0,2,0,"ID_2129e7f05",1,3,"two",1
2,0,3e+05,7,1,2,0,2,0,0,2,0,"ID_21eb7b92b",1,4,"four",8
2,1,0,4,1,1,1,1,0,0,1,0,"ID_20c4f005f",1,2,"four",1
1,0,0,5,1,1,0,1,0,0,1,0,"ID_16da34b2c",1,2,"four",2
0,0,0,3,0,1,0,1,0,0,0,0,"ID_5ecbbee01",0,1,"one",6
1,0,160000,5,1,2,0,2,0,0,1,0,"ID_5523cfc1e",1,3,"four",8
4,1,0,3,0,6,2,5,1,1,3,1,"ID_2da3a130f",1,8,"four",3
2,0,3e+05,5,1,1,0,1,0,0,2,0,"ID_45429eae0",1,3,"four",1
1,0,15000,5,1,1,1,0,0,1,1,0,"ID_838f8c81c",1,1,"one",2
1,0,0,2,1,1,0,1,0,0,1,0,"ID_bced81dbc",1,2,"four",2
0,0,25310,1,0,1,0,1,0,0,0,0,"ID_482178fb2",1,1,"four",5
2,0,6e+05,8,1,1,0,1,0,0,2,0,"ID_5f0ecbfe5",1,3,"four",1
0,0,0,1,0,1,0,1,0,0,0,0,"ID_457f46960",1,1,"two",5
1,0,0,4,1,3,2,1,0,2,1,0,"ID_0222f0814",1,2,"four",7
1,0,0,3,1,1,0,1,0,0,1,0,"ID_fc01085ca",1,2,"two",2
3,0,0,4,1,0,0,0,0,0,3,0,"ID_c0cbf52ef",1,3,"one",1
1,0,0,4,1,1,0,1,0,0,1,0,"ID_9ea7a7140",1,2,"three",2
3,1,0,5,1,0,1,0,0,0,2,0,"ID_2e35d327f",1,2,"three",1
3,0,0,6,1,0,0,0,0,0,3,0,"ID_542581efb",1,3,"four",1
1,0,0,4,1,1,0,1,0,0,1,0,"ID_3ec2f99a4",1,2,"three",2
2,0,0,7,1,0,0,0,0,0,2,0,"ID_281f578d2",1,2,"two",1
1,0,0,3,1,1,0,1,0,0,1,0,"ID_814ac6e34",1,2,"two",2
2,0,0,4,1,3,2,1,0,2,2,0,"ID_61104e6e0",1,3,"two",7
1,0,0,3,1,1,0,1,0,0,1,0,"ID_f097e9ad4",1,2,"four",2
1,0,0,3,1,1,0,1,0,0,1,0,"ID_c96c9bf9e",1,2,"four",2
0,0,0,5,1,1,0,1,0,0,0,0,"ID_c2e830afc",1,1,"four",2
2,0,0,3,0,2,0,2,0,0,2,1,"ID_f7a41383a",1,4,"one",5
1,0,40000,5,1,2,0,2,0,0,1,0,"ID_8797a19cd",1,3,"four",8
1,0,150000,5,1,2,0,2,0,0,1,0,"ID_afde8f5c5",1,3,"four",8
3,1,0,5,1,1,1,1,0,0,2,0,"ID_84e79c9d1",1,3,"four",1
1,0,0,5,1,2,0,2,0,0,1,0,"ID_1d42e2791",1,3,"three",8
1,0,0,5,1,1,0,1,0,0,1,0,"ID_cb9fd26d1",1,2,"four",2
2,0,140000,4,1,2,1,1,0,1,2,0,"ID_bf3526088",1,3,"four",1
1,0,70000,4,1,1,0,1,0,0,1,0,"ID_6cf4d84df",1,2,"two",2
1,0,0,6,1,2,0,2,0,0,1,0,"ID_cb37dfdfe",1,3,"four",8
2,0,0,4,1,1,0,1,0,0,2,0,"ID_7d8b3ac51",1,3,"two",1
2,0,0,4,1,2,0,2,0,0,2,0,"ID_473ec8108",1,4,"three",8
2,1,2e+05,4,1,0,1,0,0,0,1,0,"ID_b480e2850",1,1,"three",1
1,0,0,7,1,2,0,2,0,0,1,0,"ID_4b066c1a7",1,3,"four",8
2,0,40000,5,1,0,0,0,0,0,2,0,"ID_7aa7ea0e9",1,2,"four",1
2,0,50000,4,1,4,1,3,0,1,2,0,"ID_57fe44029",1,5,"three",8
2,0,0,5,1,3,1,2,0,1,2,0,"ID_cd4071de3",1,4,"four",8
0,0,0,5,0,2,0,2,0,0,0,0,"ID_0f7cb455c",1,2,"two",5
1,0,250000,7,1,1,0,1,0,0,1,0,"ID_837d0f43f",1,2,"four",2
1,0,0,5,1,2,0,2,0,0,1,0,"ID_5182687fd",1,3,"one",8
1,0,2e+05,5,1,3,1,2,0,1,1,0,"ID_2480c27af",1,3,"three",8
2,1,0,6,1,1,1,1,0,0,1,0,"ID_71b465cc7",1,2,"four",1
1,0,0,6,1,1,0,1,0,0,1,0,"ID_13e08a8dd",1,2,"four",2
2,1,0,5,1,3,2,2,0,1,1,0,"ID_4b155f88f",1,3,"three",7
2,0,70000,5,1,3,0,3,0,0,2,0,"ID_4bd014967",1,5,"three",8
0,0,0,4,1,1,0,1,0,0,0,0,"ID_037dbd5dc",1,1,"four",2
3,0,0,5,1,1,0,1,0,0,3,0,"ID_f423be5a7",1,4,"one",1
2,1,12000,3,1,1,1,1,0,0,1,0,"ID_6e8c5cde8",1,2,"two",1
1,0,0,3,0,4,2,2,0,2,1,0,"ID_a31274054",0,3,"two",6
0,0,0,5,1,1,0,1,0,0,0,0,"ID_4e2c4cec3",1,1,"four",2
1,0,0,4,1,2,0,2,0,0,1,0,"ID_21ff47f96",1,3,"four",8
1,0,0,6,1,0,0,0,0,0,1,0,"ID_c3883a47e",1,1,"four",2
0,0,13000,5,0,1,0,1,0,0,0,0,"ID_ceb78b059",1,1,"three",5
3,2,0,3,1,1,2,1,0,0,1,1,"ID_2ec3c9892",1,2,"four",3
1,0,0,6,1,3,0,3,0,0,1,0,"ID_b1e51ad60",0,4,"two",6
1,0,150000,6,1,3,2,1,0,2,1,0,"ID_197f5cbf3",1,2,"four",7
1,0,0,5,1,2,0,2,0,0,1,0,"ID_87982b5a8",1,3,"four",8
2,0,55000,2,0,3,1,2,1,1,2,1,"ID_7cdd89568",1,4,"three",3
1,0,1e+05,2,1,1,0,1,0,0,1,0,"ID_2ee3809b2",1,2,"four",2
2,0,0,8,1,1,0,1,0,0,2,0,"ID_f5c2c4e5a",1,3,"four",1
2,1,160000,6,1,1,1,1,0,0,1,0,"ID_bb7fcab9c",1,2,"four",1
1,0,50000,5,0,1,0,1,0,0,1,0,"ID_1caaed8c0",1,2,"four",5
2,0,0,6,1,2,1,1,0,1,2,0,"ID_61c8aa0d5",1,3,"four",1
2,1,0,5,1,2,1,2,0,0,1,0,"ID_b966ed9bc",1,3,"two",8
1,0,0,5,1,2,0,2,0,0,1,0,"ID_79420bc97",1,3,"two",8
1,0,0,7,1,2,0,2,0,0,1,0,"ID_a37b22be6",1,3,"one",8
1,0,4e+05,5,1,2,0,2,0,0,1,0,"ID_0ef1c70f2",1,3,"four",8
1,0,0,6,1,4,0,4,0,0,1,0,"ID_9ddb0c554",1,5,"two",8
2,1,0,6,1,2,2,1,0,1,1,0,"ID_ba67de39c",1,2,"four",7
1,0,0,7,1,2,0,2,0,0,1,0,"ID_8895aa50d",1,3,"four",8
3,0,0,5,1,1,0,1,0,0,3,0,"ID_20d056805",1,4,"four",1
1,0,0,3,0,4,0,4,0,0,1,0,"ID_cc2d9556c",1,5,"four",5
1,0,0,4,1,3,2,1,0,2,1,0,"ID_9594c2efa",1,2,"four",7
2,1,0,3,1,0,1,0,0,0,1,0,"ID_9b48dde62",1,1,"one",1
0,0,180000,3,1,2,0,2,0,0,0,0,"ID_db3168f9f",1,2,"four",2
1,0,0,4,1,4,1,3,0,1,1,0,"ID_7551cfcc2",1,4,"three",8
1,0,0,4,1,1,0,1,0,0,1,0,"ID_26c8f78e3",1,2,"four",2
0,0,0,3,1,1,0,1,0,0,0,0,"ID_c03fb1d72",1,1,"four",2
0,0,0,5,1,2,0,2,0,0,0,0,"ID_02518ba4f",1,2,"four",2
1,0,0,4,1,1,0,1,0,0,1,0,"ID_8ba182b2b",1,2,"four",2
1,0,0,6,1,1,0,1,0,0,1,0,"ID_7efd97f66",1,2,"four",2
3,0,0,5,1,1,0,1,0,0,3,0,"ID_46186fe5d",1,4,"four",1
1,0,0,4,1,3,0,3,0,0,1,0,"ID_2a8f31057",1,4,"four",8
2,1,0,5,1,1,1,1,0,0,1,0,"ID_134a02e44",1,2,"four",1
2,0,30000,6,1,3,1,2,0,1,2,0,"ID_5466de927",1,4,"four",8
2,1,0,4,1,0,1,0,0,0,1,0,"ID_de8172bc6",1,1,"one",1
2,0,0,5,1,1,0,1,0,0,2,0,"ID_42e3653c6",1,3,"four",1
2,0,150000,6,1,2,0,2,0,0,2,0,"ID_cb8331944",1,4,"four",8
3,2,0,5,1,1,2,1,0,0,1,0,"ID_b374a8031",1,2,"one",7
1,0,2e+05,5,1,0,0,0,0,0,1,0,"ID_761d91ffa",1,1,"four",2
3,0,0,6,1,2,0,2,0,0,3,0,"ID_73adf4df9",1,5,"four",4
1,0,35000,4,1,2,0,2,0,0,1,0,"ID_eb280431b",1,3,"four",8
3,1,0,5,1,2,1,2,0,0,2,0,"ID_665e8792d",1,4,"four",4
3,0,0,8,1,2,0,2,0,0,3,0,"ID_1a61b5d3b",1,5,"four",4
2,0,130000,4,1,1,0,1,0,0,2,0,"ID_22566d6db",1,3,"four",1
5,1,0,7,1,2,1,2,0,0,4,0,"ID_c6ed796db",1,6,"four",4
1,0,0,9,1,1,0,1,0,0,1,0,"ID_af9a2ad16",1,2,"four",2
1,0,50000,4,1,3,2,1,0,2,1,0,"ID_e99185287",1,2,"two",7
2,0,0,5,1,1,0,1,0,0,2,0,"ID_e7633d729",1,3,"four",1
3,0,0,3,1,1,0,1,0,0,3,0,"ID_25e2ea38b",1,4,"four",1
1,0,0,5,1,1,0,1,0,0,1,0,"ID_9b8df746f",1,2,"four",2
1,0,0,5,1,1,1,0,0,1,1,0,"ID_f5f05c5d4",1,1,"two",2
1,0,0,5,1,3,0,3,0,0,1,0,"ID_27986663a",1,4,"two",8
1,0,0,5,1,6,1,5,0,1,1,0,"ID_385a74e23",1,6,"four",8
3,1,65000,3,0,1,2,0,0,1,2,0,"ID_dfa09aab9",1,2,"two",5
2,0,0,5,1,3,1,2,0,1,2,0,"ID_d579c5956",1,4,"four",8
2,0,0,5,1,1,0,1,0,0,2,0,"ID_09275002e",1,3,"four",1
1,0,0,7,1,1,0,1,0,0,1,0,"ID_bdd76f9e6",1,2,"two",2
1,0,0,4,1,0,0,0,0,0,1,0,"ID_3006faf25",1,1,"four",2
2,1,0,5,1,2,2,1,0,1,1,0,"ID_3c0b9ac3a",1,2,"four",7
4,2,0,5,1,0,2,0,0,0,2,0,"ID_345cd32b7",1,2,"one",7
1,0,0,4,1,1,0,1,0,0,1,0,"ID_ca1cfb0b3",1,2,"four",2
1,0,180000,4,1,3,1,2,0,1,1,0,"ID_2e00c28d7",1,3,"two",8
2,1,0,5,1,1,1,1,0,0,1,0,"ID_61cff6f42",1,2,"three",1
2,0,25000,4,1,2,1,1,0,1,2,0,"ID_647e7d618",1,3,"one",1
1,0,0,4,1,1,0,1,0,0,1,0,"ID_b5fb0ff78",1,2,"four",2
0,0,60000,5,1,1,0,1,0,0,0,0,"ID_dc58f7993",1,1,"four",2
4,0,175000,5,1,2,0,2,0,0,4,0,"ID_22f5a16e4",1,6,"four",4
4,2,0,5,1,1,2,1,0,0,2,0,"ID_173d89849",1,3,"three",7
3,0,0,8,1,2,1,1,0,1,3,0,"ID_78308d365",1,4,"four",4
4,1,0,5,1,3,1,3,0,0,3,0,"ID_0db18d294",1,6,"four",4
1,0,0,8,1,1,0,1,0,0,1,0,"ID_c0ef8c19c",1,2,"four",2
2,0,0,3,0,3,2,1,0,2,2,1,"ID_d7f34c48f",0,3,"two",6
3,0,0,5,1,2,0,2,0,0,3,0,"ID_17134a4bc",1,5,"one",4
1,0,0,5,1,0,0,0,0,0,1,0,"ID_f1944b110",1,1,"four",2
0,0,0,7,1,1,0,1,0,0,0,0,"ID_8d3963fff",1,1,"three",2
1,0,0,7,1,2,0,2,0,0,1,0,"ID_0c579fe77",1,3,"four",8
1,0,0,7,1,1,0,1,0,0,1,0,"ID_d3c8117d1",1,2,"four",2
1,0,0,7,1,2,1,1,0,1,1,0,"ID_db9a12ebf",1,2,"three",2
2,0,0,5,1,3,0,3,0,0,2,0,"ID_e6e510747",1,5,"four",8
1,0,0,4,1,1,0,1,0,0,1,0,"ID_b11d22918",1,2,"four",2
2,0,0,7,1,1,0,1,0,0,2,0,"ID_505f41f4a",1,3,"four",1
1,0,0,3,1,1,0,1,0,0,1,0,"ID_bb0007f20",1,2,"four",2
1,0,70000,4,1,2,0,2,0,0,1,0,"ID_10da2c3cb",1,3,"four",8
1,0,0,2,1,2,1,1,0,1,1,0,"ID_30a2c5bea",0,2,"three",6
0,0,0,3,1,1,0,1,0,0,0,0,"ID_d67ba3313",1,1,"four",2
1,0,0,5,1,0,0,0,0,0,1,0,"ID_214a9aee8",1,1,"four",2
2,0,60000,5,1,2,0,2,0,0,2,0,"ID_77a07cd1e",1,4,"four",8
3,1,0,2,1,2,2,1,1,1,2,1,"ID_597a141ba",1,3,"two",3
2,1,0,4,1,2,2,1,0,1,1,0,"ID_2fe83b02d",1,2,"two",7
3,1,1e+05,4,1,3,1,3,0,0,2,0,"ID_320fb3020",1,5,"three",4
2,0,0,8,1,1,0,1,0,0,2,0,"ID_b88d65eae",1,3,"four",1
1,0,55000,4,1,1,0,1,0,0,1,0,"ID_14f22847a",1,2,"four",2
1,0,0,2,1,0,0,0,0,0,1,0,"ID_0f8831e9c",1,1,"three",2
1,0,0,3,1,3,2,1,0,2,1,0,"ID_5bef9b553",1,2,"two",7
2,0,0,7,1,1,0,1,0,0,2,0,"ID_f5e8a56b0",1,3,"four",1
1,0,0,5,1,1,0,1,0,0,1,0,"ID_a24f371d9",1,2,"one",2
2,0,27000,4,1,0,0,0,0,0,2,0,"ID_8f723b4d0",1,2,"four",1
2,1,0,6,1,1,1,1,0,0,1,0,"ID_5bd307a6b",1,2,"four",1
1,0,60000,4,1,2,0,2,0,0,1,0,"ID_f94581482",1,3,"two",8
1,0,0,4,1,3,0,3,0,0,1,0,"ID_485a894b2",1,4,"four",8
1,0,0,4,1,1,0,1,0,0,1,0,"ID_ea1ab7b73",1,2,"four",2
1,0,6e+05,6,1,2,0,2,0,0,1,0,"ID_e0be8b96f",1,3,"four",8
1,0,0,3,1,3,0,3,0,0,1,0,"ID_cd8ef0a11",1,4,"two",8
2,0,150000,4,1,3,1,2,0,1,2,0,"ID_4174d5beb",1,4,"four",8
1,0,0,5,1,1,0,1,0,0,1,0,"ID_01c83945c",1,2,"four",2
